srcStateName,srcYear,Region-wise installation of electricity,"Energy Value Type ( Potential, Capacity, Generation )",Types of Energy Sources,Nature of Energy Sources,Values for renewable electricity,"Types of Usage (Utility ,Captive)",Type of Energy Sector,YearCode,Year
BIHAR,2013,,Generation,COAL,NON-RENEWABLE,155.2,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2015,,Generation,SMALL HYDRO,RENEWABLE,98.783,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
SIKKIM,2016,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
UTTARAKHAND,2020,NR,Capacity,COGENERATION-BAGASSE,,130.5,,,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2018,,Generation,HYDRO,NON-RENEWABLE,22.21,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2014,,Generation,NATURAL GAS,NON-RENEWABLE,1024.53,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2020,WR,Potential,WIND,RENEWABLE,348,,,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2017,NR,Capacity,SOLAR,,336.73,,,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2015,,Generation,DIESEL,NON-RENEWABLE,19.2,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2019,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
WEST BENGAL,2014,,Generation,COAL,NON-RENEWABLE,22466.86,UTILITY,STATE,2014,"Financial Year (Apr - Mar), 2014"
DADRA & NAGAR HAVELI,2018,,Generation,SOLAR,RENEWABLE,5.24,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
DIU & DAMAN,2011,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
DADRA & NAGAR HAVELI,2016,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ANDHRA PRADESH,2016,,Generation,HYDRO,NON-RENEWABLE,671.33,UTILITY,STATE,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2019,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
TAMILNADU,2020,,Generation,COAL,NON-RENEWABLE,12494.294,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
MADHYA PRADESH,2020,,Generation,COAL,NON-RENEWABLE,54904.39,UTILITY,PRIVATE,2020,"Financial Year (Apr - Mar), 2020"
TRIPURA,2018,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
